"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[species]"	"Term Source REF"	"Term Accession Number"	"Factor Value[domestication]"	"Term Source REF"	"Term Accession Number"
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"exocarp"	"BTO"	""	"Sample collection"	"Isabella"	"berry peel"	""	""	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"mesocarp"	"BTO"	""	"Sample collection"	"Isabella"	"berry flesh"	""	""	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"exocarp"	"BTO"	""	"Sample collection"	"skin qc"	"berry peel"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"seed"	"BTO"	""	"Sample collection"	"41b maillard"	"berry seeds"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"exocarp"	"BTO"	""	"Sample collection"	"Nero"	"berry peel"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Riesling"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Moscato ottonel"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Gewurztraminer"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"mesocarp"	"BTO"	""	"Sample collection"	"41B maillard"	"berry flesh"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Sauviginon blanc"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"seed"	"BTO"	""	"Sample collection"	"seeds qc"	"berry seeds"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"qc"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"qc"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"exocarp"	"BTO"	""	"Sample collection"	"41B maillard"	"berry peel"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"exocarp"	"BTO"	""	"Sample collection"	"Vitis californica"	"berry peel"	""	""	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"exocarp"	"BTO"	""	"Sample collection"	"Vitis californica"	"berry peel"	""	""	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Moscato ottonel"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Gewurztraminer"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Sauviginon blanc"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"exocarp"	"BTO"	""	"Sample collection"	"Vitis cinerea"	"berry peel"	""	""	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"mesocarp"	"BTO"	""	"Sample collection"	"pulp qc"	"berry flesh"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"seed"	"BTO"	""	"Sample collection"	"Vitis cinerea"	"berry seeds"	""	""	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Merlot"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Merlot"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Sauviginon blanc"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"seed"	"BTO"	""	"Sample collection"	"Vitis cinerea"	"berry seeds"	""	""	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"seed"	"BTO"	""	"Sample collection"	"Isabella"	"berry seeds"	""	""	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"exocarp"	"BTO"	""	"Sample collection"	"Vitis arizonica Texas"	"berry peel"	""	""	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"seed"	"BTO"	""	"Sample collection"	"Isabella"	"berry seeds"	""	""	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"seed"	"BTO"	""	"Sample collection"	"seeds qc"	"berry seeds"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Gewurztraminer"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"mesocarp"	"BTO"	""	"Sample collection"	"K5BB"	"berry flesh"	""	""	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Iasma Eco 3"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Iasma Eco 3"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"exocarp"	"BTO"	""	"Sample collection"	"41B maillard"	"berry peel"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"exocarp"	"BTO"	""	"Sample collection"	"Vitis arizonica Texas"	"berry peel"	""	""	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"exocarp"	"BTO"	""	"Sample collection"	"Vitis cinerea"	"berry peel"	""	""	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Riesling"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"exocarp"	"BTO"	""	"Sample collection"	"skin qc"	"berry peel"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"seed"	"BTO"	""	"Sample collection"	"Nero"	"berry seeds"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"seed"	"BTO"	""	"Sample collection"	"Vitis cinerea"	"berry seeds"	""	""	"Vitis cinerea"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_226012"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Moscato ottonel"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"exocarp"	"BTO"	""	"Sample collection"	"Nero"	"berry peel"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"seed"	"BTO"	""	"Sample collection"	"Vitis arizonica Texas"	"berry seeds"	""	""	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"mesocarp"	"BTO"	""	"Sample collection"	"Vitis arizonica Texas"	"berry flesh"	""	""	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Merlot"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"qc"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"mesocarp"	"BTO"	""	"Sample collection"	"pulp qc"	"berry flesh"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Moscato ottonel"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Riesling"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Riesling"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"seed"	"BTO"	""	"Sample collection"	"41B maillard"	"berry seeds"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"exocarp"	"BTO"	""	"Sample collection"	"Nero"	"berry peel"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Iasma Eco 3"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"exocarp"	"BTO"	""	"Sample collection"	"K5BB"	"berry peel"	""	""	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"mesocarp"	"BTO"	""	"Sample collection"	"Vitis arizonica Texas"	"berry flesh"	""	""	"Vitis arizonica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_103353"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"exocarp"	"BTO"	""	"Sample collection"	"skin qc"	"berry peel"	""	""	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"mesocarp"	"BTO"	""	"Sample collection"	"Isabella"	"berry flesh"	""	""	"Vitis labrusca x Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_105599"	"hybrid"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"mesocarp"	"BTO"	""	"Sample collection"	"K5BB"	"berry flesh"	""	""	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Gewurztraminer"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"seed"	"BTO"	""	"Sample collection"	"Moscato rosa"	"berry seeds"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Iasma Eco 3"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"seed"	"BTO"	""	"Sample collection"	"K5BB"	"berry seeds"	""	""	"Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_1115876"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"seed"	"BTO"	""	"Sample collection"	"Vitis californica"	"berry seeds"	""	""	"Vitis californica"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_754096"	"wild"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"mesocarp"	"BTO"	""	"Sample collection"	"Merlot"	"berry flesh"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	""	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"qc"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	""	""	""	""	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"exocarp"	"BTO"	""	"Sample collection"	"Iasma Eco 3"	"berry peel"	""	""	"Vitis vinifera"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_29760"	"domesticated"	""	""
"grape berries"	"Vitis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3603"	"Vitis Vinifera x Vitis berlandieri"	""	""	"mesocarp"	"BTO"	""	"Sample collection"	"Nero"	"berry flesh"	""	""	"Vitis Vinifera x Vitis berlandieri"	""	""	"hybrid"	""	""
