"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Group]"	"Term Source REF"	"Term Accession Number"
"1"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"1"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"2"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"2"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"3"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"3"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"4"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"4"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"5"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"5"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"6"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"6"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"7"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"7"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"8"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"8"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"9"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"9"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"10"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"10"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
