"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Growth Year]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130612_Pos_J1B_Z"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CB2A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CB2A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CB2A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CB2B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CB2B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CB2B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CC1A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CC1A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CC1A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CC1B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CC1B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_14CC1B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DA2A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DA2A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DA2A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DA2B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DA2B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DA2B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DJ2A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DJ2A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DJ2A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DJ2B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DJ2B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_15DJ2B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CD1A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CD1A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CD1A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CD1B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CD1B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CD1B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CF1A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CF1A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CF1A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CF1B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CF1B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_16CF1B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DG2A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DG2A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DG2A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DG2B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DG2B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DG2B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DJ2A_X"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DJ2A_Y"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DJ2A_Z"	"Current"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DJ2B_X"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DJ2B_Y"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_30DJ2B_Z"	"Previous"	""	""	"154OE"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C2A_X"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C2A_Y"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C2A_Z"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C2B_X"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C2B_Y"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C2B_Z"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C4A_X"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C4A_Y"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C4A_Z"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C4B_X"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C4B_Y"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_C4B_Z"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_D1A_X"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_D1A_Y"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_D1A_Z"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_D1B_X"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_D1B_Y"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_D1B_Z"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_I1A_X"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_I1A_Y"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_I1A_Z"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_I1B_X"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_I1B_Y"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_I1B_Z"	"Previous"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_J1A_X"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_J1A_Y"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_J1A_Z"	"Current"	""	""	"Control"	""	""
"stem wood methanolic extract"	"Populus tremula x Populus alba"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/80863"	"Populus tremula x Populus alba clone 717-1B4"	""	""	"twig"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001411"	"Sample collection"	"130717_HILICPOS_J1B_X"	"Previous"	""	""	"Control"	""	""
