"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Pos_R1"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R1"	"Pos_R1.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R2"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R2"	"Pos_R2.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R3"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R3"	"Pos_R3.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R4"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R4"	"Pos_R4.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R5"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R5"	"Pos_R5.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R6"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R6"	"Pos_R6.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R7"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R7"	"Pos_R7.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R8"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R8"	"Pos_R8.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R9"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R9"	"Pos_R9.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Pos_R10"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-1200 "	"Waters SYNAPT HDMS System"	""	""	"electrospray ionization"	"MS"	""	"quadrupole time-of-flight"	""	""	"Pos_R10"	"Pos_R10.raw.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls178_POS_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
