"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I7_BALF"	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I8_BALF"	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I9_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I10_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I15_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I16_BALF"	"11"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I11_BALF"	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I12_BALF"	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I19_BALF"	"13"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I13_BALF"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I14_BALF"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I17_BALF"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
"Mouse broncho-alveolar lavage fluid"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"bronchoalveolar lavage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000155"	"Sample collection"	"LI_PR8_I22_BALF"	"19"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"A/Puerto Rico/8/34 (PR8)"	""	""	"280"	"plaque forming unit"	"UO"	"http://purl.obolibrary.org/obo/UO_0000211"
