"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental group]"	"Term Source REF"	"Term Accession Number"
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Sort1"	"Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Sort2"	"Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Sort3"	"Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Sort4"	"Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Sort5"	"Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab+Sort1"	"Ab+Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab+Sort2"	"Ab+Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab+Sort3"	"Ab+Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab+Sort4"	"Ab+Sort"	""	""
"C57BL6 Charles River"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"peritoneal macrophage"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001034"	"Sample collection"	"Ab+Sort5"	"Ab+Sort"	""	""
