"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Container_after_initiation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Container_after_04d]"	"Term Source REF"	"Term Accession Number"	"Factor Value[RelativeHumidity_after_04d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_initiation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_08d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_12d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_16d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature_after_04d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Total Light_On_after_04d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Total Light_Off_after_04d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Medium_after_initiation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Medium_after_04d]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Watering_after_04d]"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"rg8"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7302if_15"
"rg8"	"Lotus japonicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/34305"	"Lotus japonicus var. Gifu B129"	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7309if_24"
"rg5"	"Lotus filicaulis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/264956"	""	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7302if_29"
"rg5"	"Lotus filicaulis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/264956"	""	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7302if_45"
"rg5"	"Lotus filicaulis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/264956"	""	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7309if_20"
"rg5"	"Lotus filicaulis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/264956"	""	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7309if_28"
"rg5"	"Lotus filicaulis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/264956"	""	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7309if_48"
"rg5"	"Lotus filicaulis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/264956"	""	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7302if_13"
"rg7"	"Lotus burttii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/645164"	"Lotus burttii B303"	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7302if_23"
"rg7"	"Lotus burttii"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/645164"	"Lotus burttii B303"	""	""	"whole plant"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001461"	"Sample collection"	"Petri dish"	""	""	"10 cm Pot"	""	""	"60"	"percent"	"UO"	"http://purl.obolibrary.org/obo/UO_0000187"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"0"	"Mole per Liter"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48555"	"23"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"8"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Agar"	""	""	"Potting soil"	""	""	"Half-strength BD solution plus 2 mM KNO3 and 2 mM NH4NO3"	""	""	"7302if_39"
