"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Container_after_initiation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_initiation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_04d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_08d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_12d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_16d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Medium_after_initiation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Watering_after_initiation]"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"rg1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_14"
"rg1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_19"
"rg1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_24"
"rg1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_29"
"rg1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_34"
"rg1"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_9"
"rg2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_10"
"rg2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_15"
"rg2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_20"
"rg2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_25"
"rg2"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6275if_30"
